rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
748;Medical Mutual of Ohio;762;2895;5;8,1;-80;2234;0;2244;Richard A. Chiricosta;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);0;Cleveland;OH;41.49932;-81.6943605
749;MSC Industrial Direct;752;2888;0,8;231,4;0,1;2099;5178;6563;Erik Gershwind;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Melville;NY;40.7934322;-73.4151214
750;Legg Mason;783;2887;8,5;227,3;0;829;3437;3338;Joseph A. Sullivan;Chairman, President &  Chief Executive Officer;Financials;Securities;0;Baltimore;MD;39.2903848;-76.6121893
751;Hyster-Yale Materials Handling;792;2885;12,3;48,6;13,6;1648;1157;68;Alfred M. Rankin Jr.;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Cleveland;OH;41.49932;-81.6943605
752;Apollo Global Management;881;2884;29,8;629,1;56,2;6991;597;1047;Leon D. Black;Chairman &  Chief Executive Officer;Financials;Securities;0;New York;NY;40.7127753;-74.0059728
753;Citrix Systems;661;2883;-15,7;-20,7;-103,9;582;12635;75;David J. Henshall;President, Chief Executive Officer &  Director;Technology;Computer Software;0;Fort Lauderdale;FL;26.1224386;-80.1373174
754;Acadia Healthcare;754;2877;0,9;199,8;3153,1;6425;3459;3405;Joey A. Jacobs;Chairman &  Chief Executive Officer;Health Care;Health Care: Medical Facilities;0;Franklin;TN;35.9250637;-86.8688899
755;Varian Medical Systems;691;2862;-11,1;249,6;-38;3179;11198;66;Dow R. Wilson;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;Palo Alto;CA;37.4418834;-122.1430195
756;Groupon;704;2859;-9;14;0;1678;2437;6672;Rich Williams;Chairman &  Chief Executive Officer;Technology;Internet Services and Retailing;0;Chicago;IL;41.8781136;-87.6297982
757;Aleris;782;2858;7,3;-210,6;0;2644;0;54;Sean M. Stack;Chairman, President &  Chief Executive Officer;Materials;Metals;0;Cleveland;OH;41.49932;-81.6943605
758;Sprague Resources;837;2855;19,5;29,5;190,2;1363;542;981;David C. Glendon;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Portsmouth;NH;43.0717552;-70.7625532
759;Cooper Tire & Rubber;743;2855;-2,4;95,4;-61,6;2608;1491;9204;Bradley E. Hughes;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Findlay;OH;41.04422;-83.6499321
760;Hain Celestial Group;;2853;-1,1;67,4;42,2;2931;3333;7825;Irwin D. Simon;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;0;Lake Success;NY;40.7706572;-73.7176312
761;Penn Mutual Life Insurance;799;2851;12,4;594;181,8;3166;0;3089;Eileen C. McDonnell;Chairman &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);0;Horsham;PA;40.1784422;-75.1285061
762;Colony NorthStar;;2842;613,2;-197,9;-568;24786;3038;544;Richard B. Saltzman;President, Chief Executive Officer &  Director;Financials;Real estate;0;Los Angeles;CA;34.0522342;-118.2436849
763;ArcBest;774;2827;4,7;59,7;220,2;1366;822;13;Judy R. McReynolds;Chairman, President &  Chief Executive Officer;Transportation;Trucking, Truck Leasing;0;Fort Smith;AR;35.3859242;-94.3985475
764;Presidio;;2818;2,8;4,4;0;2651;1438;27;Robert Cagnazzi;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;0;New York;NY;40.7127753;-74.0059728
765;TRI Pointe Group;831;281;16,8;187,2;-4,1;3805;2487;1251;Douglas F. Bauer;Chairman &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Irvine;CA;33.6845673;-117.8265049
766;Annaly Capital Management;853;2809;20,1;1569,6;9,5;10176;12095;152;Kevin G. Keyes;Chairman, President &  Chief Executive Officer;Financials;Diversified Financials;0;New York;NY;40.7127753;-74.0059728
767;G-III Apparel Group;838;2807;17,6;62,1;19,6;1915;1849;9961;Morris Goldfarb;Chairman &  Chief Executive Officer;Apparel;Apparel;0;New York;NY;40.7127753;-74.0059728
768;AMC Networks;763;2806;1,8;471,3;74,2;5033;314;2039;Joshua W. Sapan;President, Chief Executive Officer &  Director;Media;Entertainment;0;New York;NY;40.7127753;-74.0059728
769;Enable Midstream Partners;870;2803;23,4;436;39,7;11593;5935;163;Rodney J. Sailor;President, Chief Executive Officer &  Director;Energy;Pipelines;0;Oklahoma City;OK;35.4675602;-97.5164276
770;Ciena;788;2802;7,7;1262;1638,6;3952;3719;5737;Gary B. Smith;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;0;Hanover;MD;39.1955042;-76.7228227
771;DSW;772;28;3,3;67,3;-46;1414;1798;12;Roger L. Rawlins;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Columbus;OH;39.9611755;-82.9987942
772;Convergys;746;2792;-4,2;121,4;-15,1;2415;2073;115;Andrea J. Ayers;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;0;Cincinnati;OH;39.1031182;-84.5120196
773;Park Hotels & Resorts;;2791;0;2625;0;9714;5435;520;Thomas J. Baltimore Jr.;Chairman, President &  Chief Executive Officer;Financials;Real estate;0;McLean;VA;38.9338676;-77.1772604
774;Pool;791;2788;8,5;191,6;28,7;1101;5931;4;Manuel J. Perez de la Mesa;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Covington;LA;30.4754702;-90.1009108
775;Fossil Group;723;2788;-8,4;-478,2;-706,3;1658;618;123;Kosta N. Kartsotis;Chairman &  Chief Executive Officer;Apparel;Apparel;0;Richardson;TX;32.9483335;-96.7298519
776;Dominos Pizza;815;2788;12,8;277,9;29,5;837;1006;142;J. Patrick Doyle;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;0;Ann Arbor;MI;42.2808256;-83.7430378
777;Crane;767;2786;1,4;171,8;39,9;3594;5547;106;Max H. Mitchell;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Stamford;CT;41.0534302;-73.5387341
778;Caleres;790;2786;8;87,2;32,8;1489;1444;12;Diane M. Sullivan;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;St. Louis;MO;38.6270025;-90.1994042
779;Tempur Sealy International;709;2754;-12;151,4;-20,6;2694;2461;7;Scott L. Thompson;Chairman, President &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;0;Lexington;KY;38.0405837;-84.5037164
780;Tetra Tech;789;2753;6,6;117,9;40,7;1903;2734;16;Dan L. Batrack;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Engineering, Construction;0;Pasadena;CA;34.1477849;-118.1445155
781;Illumina;833;2752;14,7;726;56,9;5257;34754;62;Francis A. deSouza;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;0;San Diego;CA;32.715738;-117.1610838
782;Valmont Industries;804;2746;8,9;116,2;-32,9;2602;3322;1069;Stephen G. Kaniewski;President, Chief Executive Officer &  Director;Materials;Metals;0;Omaha;NE;41.2565369;-95.9345034
783;Hill-Rom Holdings;784;2744;3,3;133,6;7,7;4529;5757;10;John P. Groetelaars;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;Chicago;IL;41.8781136;-87.6297982
784;Unisys;756;2742;-2,8;-65,3;0;2542;544;205;Peter A. Altabef;President, Chief Executive Officer &  Director;Technology;Information Technology Services;0;Blue Bell;PA;40.1523309;-75.266289
785;Zions Bancorp.;816;2736;10,8;592;26,2;66288;10362;10083;Harris H. Simmons;Chairman &  Chief Executive Officer;Financials;Commercial Banks;0;Salt Lake City;UT;40.7607793;-111.8910474
786;Sinclair Broadcast Group;769;2734;-0,1;576;134,8;6785;3185;89;Christopher S. Ripley;President, Chief Executive Officer &  Director;Media;Entertainment;0;Cockeysville;MD;39.4900013;-76.6585074
787;Louisiana-Pacific;878;2734;22,4;389,8;160,2;2449;4173;5;W. Bradley Southern;Chairman &  Chief Executive Officer;Materials;Building Materials, Glass;0;Nashville;TN;36.1626638;-86.7816016
788;Mettler-Toledo International;810;2725;8,6;376;-2,2;255;14635;146;Olivier A. Filliol;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;0;Columbus;OH;39.9611755;-82.9987942
789;Synopsys;827;2725;12,5;136,6;-48,8;5396;1238;11686;Aart J. de Geus/Chi-Foon Chan;Chairman &  Co-Chief Executive Officer;Technology;Computer Software;0;Mountain View;CA;37.3860517;-122.0838511
790;Kemper;803;2723;8;120,9;619,6;8376;2933;555;Joseph P. Lacher Jr.;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);0;Chicago;IL;41.8781136;-87.6297982
791;Cabot;829;2717;12,7;241;61,7;3314;3444;45;Sean D. Keohane;President, Chief Executive Officer &  Director;Chemicals;Chemicals;0;Boston;MA;42.3600825;-71.0588801
792;Great Plains Energy;778;2708;1,2;-106,2;-136,6;12458;6856;2709;Terry D. Bassham;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;0;KCMO;MO;39.0997265;-94.5785667
793;Rent-A-Center;735;2703;-8,8;6,7;0;1421;461;183;Mitchell E. Fadel;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;0;Plano;TX;33.0198431;-96.6988856
794;Hawaiian Holdings;819;2696;10;364;54,6;286;1986;666;Peter R. Ingram;President, Chief Executive Officer &  Director;Transportation;Airlines;0;Honolulu;HI;21.3069444;-157.8583333
795;Revlon;855;2694;15,4;-183,2;0;3057;1085;78;Debra G. Perelman;Vice Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;0;New York;NY;40.7127753;-74.0059728
796;Syneos Health;;2672;65,9;-138,5;-222,9;7286;3713;21;Alistair MacDonald;Chairman &  Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;0;Raleigh;NC;35.7795897;-78.6381787
797;Public Storage;794;2669;4,2;1442,2;-0,8;10733;34885;56;Ronald L. Havner Jr.;Chairman &  Chief Executive Officer;Financials;Real estate;0;Glendale;CA;34.1425078;-118.255075
798;TTM Technologies;800;2659;4,9;124,2;256,3;2782;1582;29;Thomas T. Edman;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Costa Mesa;CA;33.6412156;-117.9188221
799;Vectren;820;2657;8,5;216;2,1;6239;531;55;Carl L. Chapman;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;0;Evansville;IN;37.9715592;-87.5710898
800;Trimble;844;2654;12,4;121,1;-8,5;4298;892;9523;Steven W. Berglund;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;0;Sunnyvale;CA;37.36883;-122.0363496
801;NOW;910;2648;25,7;-52;0;1749;1104;4463;Robert R. Workman;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Houston;TX;29.7604267;-95.3698028
802;Spirit Airlines;860;2648;14;420,6;58,8;4144;2577;61;Robert L. Fornaro;Chairman &  Chief Executive Officer;Transportation;Airlines;0;Miramar;FL;25.9860762;-80.3035602
803;ASGN;822;2626;7,6;157,7;62,2;181;4272;38;Peter T. Dameris;Chief Executive Officer &  Director;Business Services;Temporary Help;0;Calabasas;CA;34.1367208;-118.6614809
804;Lincoln Electric Holdings;868;2624;15,4;247,5;24,8;2407;5902;11;Christopher L. Mapes;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Cleveland;OH;41.49932;-81.6943605
805;Prologis;801;2618;3,4;1652,3;36,6;29481;33578;1565;Hamid R. Moghadam;Chairman &  Chief Executive Officer;Financials;Real estate;0;SF;CA;37.7749295;-122.4194155
806;Range Resources;;2611;137,4;333,1;0;11729;3614;773;Jeffrey L. Ventura;Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Fort Worth;TX;32.7554883;-97.3307658
807;Teledyne Technologies;900;2604;21,1;227,2;19;3846;6682;1034;Robert Mehrabian;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Thousand Oaks;CA;34.1705609;-118.8375937
808;Vishay Intertechnology;858;2604;12,1;-20,3;-141,7;3459;2682;23;Gerald Paul;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Malvern;PA;40.0362184;-75.5138118
809;Boston Properties;796;2602;2;462,4;-9,8;19372;19018;740;Owen D. Thomas;Chief Executive Officer;Financials;Real estate;0;Boston;MA;42.3600825;-71.0588801
810;Applied Industrial Technologies;806;2594;2,9;133,9;352,8;1388;2819;5554;Neil A. Schrimsher;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Cleveland;OH;41.49932;-81.6943605
811;Graham Holdings;813;2592;4,4;302;79,2;4938;3312;16153;Timothy J. O?Shaughnessy;President, Chief Executive Officer &  Director;Business Services;Education;0;Arlington;VA;38.8816208;-77.0909809
812;Amica Mutual Insurance;834;259;8;96,1;-38,9;6355;0;3693;Robert A. DiMuccio;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);0;Lincoln;RI;41.9110123;-71.4418101
813;Concho Resources;;2586;58,2;956;0;13732;22409;1203;Timothy A. Leach;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Midland;TX;31.9973456;-102.0779146
814;ITT;830;2585;7,5;113,5;-39;37;4343;10;Denise L. Ramos;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;White Plains;NY;41.0339862;-73.7629097
815;Kansas City Southern;854;2583;10,7;962;101,2;9199;1132;713;Patrick J. Ottensmeyer;President, Chief Executive Officer &  Director;Transportation;Railroads;0;KCMO;MO;39.0997265;-94.5785667
816;MDC Holdings;857;2578;10,8;141,8;37,4;278;1567;1491;Larry A. Mizel;Chairman &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Denver;CO;39.7392358;-104.990251
817;Evergy;793;2571;0,3;323,9;-6,5;11624;748;2205;Terry D. Bassham;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Topeka;KS;39.0473451;-95.6751576
818;Pinnacle Entertainment;840;2562;7,7;63,1;0;395;1753;15377;Anthony M. Sanfilippo;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Las Vegas;NV;36.1699412;-115.1398296
819;Hawaiian Electric Industries;839;2556;7,3;165,3;-33,4;131;3742;388;Constance H. Lau;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Honolulu;HI;21.3069444;-157.8583333
820;TEGNA;671;255;-23,7;273,7;-37,3;4962;2456;5283;David T. Lougee;President, Chief Executive Officer &  Director;Media;Entertainment;0;McLean;VA;38.9338676;-77.1772604
821;Southwest Gas Holdings;817;2549;3,6;193,8;27,5;6237;3259;7771;John P. Hester;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Las Vegas;NV;36.1699412;-115.1398296
822;Vista Outdoor;872;2547;12,2;-274,5;-286,7;2977;936;64;Christopher T. Metz;Chairman &  Chief Executive Officer;Household Products;Miscellaneous;0;Farmington;UT;40.9804999;-111.8874392
823;Bon-Ton Stores;779;2541;-5;-90,7;0;1587;1;233;William X. Tracy;President, Chief Executive Officer &  Director;Retailing;General Merchandisers;0;York;PA;39.9625984;-76.727745
824;Super Micro Computer;884;253;14,2;69,3;-3,7;1489;828;2699;Charles Liang;Chairman, President &  Chief Executive Officer;Technology;Computers, Office Equipment;0;San Jose;CA;37.3382082;-121.8863286
825;Plexus;795;2528;-1,1;112,1;46,6;1976;2012;16;Todd P. Kelsey;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Neenah;WI;44.1858193;-88.462609
826;TrueBlue;766;2509;-8,8;55,5;0;1109;1063;55;Steven C. Cooper;Chairman &  Chief Executive Officer;Business Services;Temporary Help;0;Tacoma;WA;47.2528768;-122.4442906
827;Magellan Midstream Partners;889;2508;13,7;869,5;8,3;7394;13315;1802;Michael N. Mears;Chairman, President &  Chief Executive Officer;Energy;Pipelines;0;Tulsa;OK;36.1539816;-95.992775
828;Toro;836;2505;4,7;267,7;15,9;1494;6621;6779;Richard M. Olson;Chairman, President &  Chief Executive Officer;Industrials;Construction and Farm Machinery;0;Bloomington;MN;44.840798;-93.2982799
829;Akamai Technologies;851;2503;7;218,3;-30,9;4603;12069;765;F. Thomson Leighton;Chief Executive Officer &  Director;Technology;Internet Services and Retailing;0;Cambridge;MA;42.3736158;-71.1097335
830;Moog;828;2498;3,5;141,3;11,5;3091;2949;10675;John R. Scannell;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Elma Center;NY;42.8212288;-78.6341996
831;Vertex Pharmaceuticals;;2489;46,2;263,5;0;3546;41379;23;Jeffrey M. Leiden;Chairman, President &  Chief Executive Officer;Health Care;Pharmaceuticals;0;Boston;MA;42.3600825;-71.0588801
832;Equity Residential;825;2471;1,9;603,5;-85,9;20571;22687;2683;David J. Neithercut;President, Chief Executive Officer &  Director;Financials;Real estate;0;Chicago;IL;41.8781136;-87.6297982
833;Selective Insurance Group;865;247;8,1;168,8;6,5;7686;3566;226;Gregory E. Murphy;Chairman &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);0;Branchville;NJ;41.1464852;-74.7523874
834;AptarGroup;856;2469;5,9;220;7;3138;56;132;Stephan B. Tanda;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Crystal Lake;IL;42.2411344;-88.3161965
835;Benchmark Electronics;863;2467;6,8;-32;-149,9;2097;1455;106;Paul J. Tufano;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Scottsdale;AZ;33.4941704;-111.9260519
836;Columbia Sportswear;841;2466;3,7;105,1;-45,2;2213;5351;6188;Timothy P. Boyle;President, Chief Executive Officer &  Director;Apparel;Apparel;0;Portland;OR;45.5122308;-122.6587185
837;A. Schulman;811;2461;-1,4;33;0;1754;127;49;Joseph M. Gingo;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Fairlawn;OH;41.127833;-81.609844
838;Verso;786;2461;-6,8;-30;0;1732;580;42;B. Christopher DiSantis;President, Chief Executive Officer &  Director;Materials;Forest and Paper Products;0;Miamisburg;OH;39.6428362;-84.2866083
839;Digital Realty Trust;901;2458;14,7;248,3;-41,7;21404;21701;1429;A. William Stein;Chairman &  Chief Executive Officer;Financials;Real estate;0;SF;CA;37.7749295;-122.4194155
840;GNC Holdings;797;2453;-3,4;-148,9;0;1517;323;115;Kenneth A. Martindale;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;0;Pittsburgh;PA;40.4406248;-79.9958864
841;E*Trade Financial;930;2452;21;614;11,2;63365;14692;3607;Karl A. Roessner;Chairman &  Chief Executive Officer;Financials;Securities;0;New York;NY;40.7127753;-74.0059728
842;Hovnanian Enterprises;765;2452;-10,9;-332,2;0;1901;271;1905;Ara K. Hovnanian;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Red Bank;NJ;40.3470543;-74.0643065
843;Maximus;832;2451;2;209,4;17,4;1351;4353;204;Bruce L. Caswell;President, Chief Executive Officer &  Director;Technology;Information Technology Services;0;Reston;VA;38.9586307;-77.3570028
844;Twitter;802;2443;-3,4;-108,1;0;7413;21784;3372;Jack Dorsey;Chairman &  Chief Executive Officer;Technology;Internet Services and Retailing;0;SF;CA;37.7749295;-122.4194155
845;Par Pacific Holdings;974;2443;31;72,6;0;1347;784;905;William C. Pate;President, Chief Executive Officer &  Director;Energy;Petroleum Refining;0;Houston;TX;29.7604267;-95.3698028
846;Parexel International;824;2442;0,6;107,3;-30,7;2313;0;189;Jamie Macdonald;Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;0;Waltham;MA;42.3764852;-71.2356113
847;RH;902;244;14,3;2,2;-59,6;1733;205;475;Gary G. Friedman;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;0;Corte Madera;CA;37.9254806;-122.5274755
848;Nexstar Media Group;;2432;120,4;475;418,9;7482;3066;8737;Perry A. Sook;Chairman, President &  Chief Executive Officer;Media;Entertainment;0;Irving;TX;32.8140177;-96.9488945
849;Knight-Swift Transportation Holdings;586;2426;116,9;484,3;416;7683;8199;253;David A. Jackson;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;0;Phoenix;AZ;33.4483771;-112.0740373
850;Red Hat;920;2412;17,5;253,7;27,3;4535;26464;105;James M. Whitehurst;President, Chief Executive Officer &  Director;Technology;Computer Software;0;Raleigh;NC;35.7795897;-78.6381787
851;Belden;846;2389;1,4;93,2;-27,2;3841;2891;88;John S. Stroup;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;0;St. Louis;MO;38.6270025;-90.1994042
852;Boyd Gaming;894;2384;9,1;189,2;-54,7;4686;3589;19707;Keith E. Smith;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Las Vegas;NV;36.1699412;-115.1398296
853;Primoris Services;938;238;19,2;72,4;170,8;1256;1287;7102;David L. King;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;0;Dallas;TX;32.7766642;-96.7969879
854;Gardner Denver;;2375;22,5;18,4;0;4621;6051;64;Vicente Reynal;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;0;Milwaukee;WI;43.0389025;-87.9064736
855;Donaldson;882;2372;6,8;232,8;22;198;5851;132;Tod E. Carpenter;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Minneapolis;MN;44.977753;-93.2650108
856;Party City Holdco;866;2372;3,9;215,3;83,3;3455;1504;146;James M. Harrison;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;0;Elmsford;NY;41.0550969;-73.8201337
857;J.Crew Group;826;237;-2,3;-125;0;1201;0;895;James W. Brett;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;New York;NY;40.7127753;-74.0059728
858;EnerSys;861;2367;2,2;160,2;17,7;2293;2907;94;David M. Shaffer;President, Chief Executive Officer &  Director;Industrials;Electronics, Electrical Equip.;0;Reading;PA;40.3356483;-75.9268747
859;Guess;887;2364;7,9;-7,9;-134,7;1656;1667;147;Victor Herrero;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Los Angeles;CA;34.0522342;-118.2436849
860;Patterson-UTI Energy;;2357;157,3;5,9;0;5759;3892;8;William A. Hendricks Jr.;President, Chief Executive Officer &  Director;Energy;Oil and Gas Equipment, Services;0;Houston;TX;29.7604267;-95.3698028
861;WGL Holdings;848;2355;0,2;192,6;14,9;6626;4296;1586;Terry D. McCallister;Chairman &  Chief Executive Officer;Energy;Energy;0;Leavenworth;WA;47.7510741;-120.7401385
862;Wolverine World Wide;812;235;-5,8;0,3;-99,7;2399;2753;37;Blake W. Krueger;Chairman, President &  Chief Executive Officer;Apparel;Apparel;0;Rockford;MI;43.1200272;-85.5600316
863;Xilinx;885;2349;6,1;622,5;13;4741;18408;3831;Victor Peng;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;San Jose;CA;37.3382082;-121.8863286
864;Vornado Realty Trust;809;2345;-6,6;227,4;-74,9;17398;12786;3989;Steven Roth;Chairman &  Chief Executive Officer;Financials;Real estate;0;New York;NY;40.7127753;-74.0059728
865;Middleby;873;2336;3;298,1;4,9;334;6896;8493;Selim A. Bassoul;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Elgin;IL;42.0354084;-88.2825668
866;MPM Holdings;879;2331;4,4;0;0;2717;1282;52;John G. Boss;President, Chief Executive Officer &  Director;Chemicals;Chemicals;0;Waterford;NY;42.7925777;-73.6812293
867;Cleveland-Cliffs;907;2330,2;10,5;367;110,8;2953,4;2067;2938;Lourenco C. Goncalves;Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Cleveland;OH;41.49932;-81.6943605
868;GGP;849;2328;-0,8;657,3;-49;2335;19581;17;Sandeep Mathrani;Chairman &  Chief Executive Officer;Financials;Real estate;0;Chicago;IL;41.8781136;-87.6297982
869;Cypress Semiconductor;959;2328;21;-80,9;0;3537;6021;6099;Hassane El-Khoury;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;San Jose;CA;37.3382082;-121.8863286
870;Arch Coal;946;2325;17,7;238,5;0;198;1913;379;John W. Eaves;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;St. Louis;MO;38.6270025;-90.1994042
871;GMS;976;2319;24,8;48,9;289,1;1393;1254;4464;G. Michael Callahan Jr.;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Tucker;GA;33.8545479;-84.2171424
872;Waters;899;2309;6,5;20,3;-96,1;534;15553;7;Christopher J. O'Connell;Chairman &  Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;0;Milford;MA;42.1398577;-71.5163049
873;H.B. Fuller;913;2306;10,1;58,2;-53,1;4361;2513;5965;James J. Owens;President, Chief Executive Officer &  Director;Chemicals;Chemicals;0;St Paul;MN;44.9537029;-93.0899578
874;Affiliated Managers Group;892;2305;5;689,5;45,8;8702;10331;44;Nathaniel Dalton;Chairman &  Chief Executive Officer;Financials;Securities;0;West Palm Beach;FL;26.7153424;-80.0533746
875;PerkinElmer;875;2301;1,8;292,6;24,9;6092;8367;11;Robert F. Friel;Chairman, President &  Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;0;Waltham;MA;42.3764852;-71.2356113
876;Edgewell Personal Care;845;2298;-2,7;5,7;-96,8;4189;2636;6;David P. Hatfield;Chairman, President &  Chief Executive Officer;Household Products;Household and Personal Products;0;Chesterfield;MO;38.6631083;-90.5770675
877;Maxim Integrated Products;891;2296;4,6;571,6;151,3;457;16935;704;Tun? Doluca;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;San Jose;CA;37.3382082;-121.8863286
878;Knights of Columbus;880;229;2,8;108,1;21,9;24954;0;926;Carl A. Anderson;Chairman &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);0;New Haven;CT;41.308274;-72.9278835
879;IDEX;906;2287;8,2;337,3;24,4;34;10916;7167;Andrew K. Silvernail;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Lake Forest;IL;42.2586342;-87.840625
880;DST Systems;847;2284;-3;451,5;5,7;2938;4962;142;William C. Stone;CEO-SS& C Technologies Holdings;Business Services;Financial Data Services;0;KCMO;MO;39.0997265;-94.5785667
881;Chicos FAS;814;2282;-7,8;101;10,7;1088;1152;1235;Shelley G. Broader;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Apparel;0;Fort Myers;FL;26.640628;-81.8723084
882;Nu Skin Enterprises;888;2279;3,2;129,4;-9,5;159;3888;487;Ritch N. Wood;Chairman &  Chief Executive Officer;Household Products;Household and Personal Products;0;Provo;UT;40.2338438;-111.6585337
883;Herman Miller;874;2278;0,6;123,9;-9,4;1306;1907;7478;Brian C. Walker;President, Chief Executive Officer &  Director;Household Products;Home Equipment, Furnishings;0;Zeeland;MI;42.8125246;-86.018651
884;NLV Financial;943;2275;14,4;259,9;66,6;30209;0;1065;Mehran Assadi;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (stock);0;Montpelier;VT;44.2600593;-72.5753869
885;Curtiss-Wright;908;2271;7,7;214,9;14,7;3236;5976;86;David C. Adams;Chairman &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;0;Charlotte;NC;35.2270869;-80.8431267
